time,x,y,yaw,speed,steering,lap_id,trial_id,lap_time,collision,collision_count,collision_x,collision_y,min_lidar_range
0.927151,0,0,0,0,0,0,0,0.927151,0,0,0,0,0.927016
0.930711,0,0,0,0,0,0,0,0.930711,0,0,0,0,0.927016
0.934717,0,0,0,0,0,0,0,0.934717,0,0,0,0,0.927016
0.938698,0,0,0,0,0,0,0,0.938698,0,0,0,0,0.927016
0.946175,0,0,0,0,0,0,0,0.946175,0,0,0,0,0.927016
0.946716,0,0,0,0,0,0,0,0.946716,0,0,0,0,0.927016
0.951824,0,0,0,0,0,0,0,0.951824,0,0,0,0,0.927016
0.954527,0,0,0,0,0,0,0,0.954527,0,0,0,0,0.927016
0.958644,0,0,0,0,0,0,0,0.958644,0,0,0,0,0.927016
0.962543,0,0,0,0,0,0,0,0.962543,0,0,0,0,0.927016
0.96634,0,0,0,0,0,0,0,0.96634,0,0,0,0,0.927016
0.97068,0,0,0,0,0,0,0,0.97068,0,0,0,0,0.927016
0.974624,0,0,0,0,0,0,0,0.974624,0,0,0,0,0.927016
0.980491,0,0,0,0,0,0,0,0.980491,0,0,0,0,0.927016
0.984558,0,0,0,0,0,0,0,0.984558,0,0,0,0,0.927016
0.986507,0,0,0,0,0,0,0,0.986507,0,0,0,0,0.927016
0.990787,0,0,0,0,0,0,0,0.990787,0,0,0,0,0.927016
0.994527,0,0,0,0,0,0,0,0.994527,0,0,0,0,0.927016
0.998234,0,0,0,0,0,0,0,0.998234,0,0,0,0,0.927016
1.00239,0,0,0,0,0,0,0,1.00239,0,0,0,0,0.927016
1.00693,0,0,0,0,0,0,0,1.00693,0,0,0,0,0.927016
1.01653,0,0,0,0,0,0,0,1.01653,0,0,0,0,0.927016
1.01699,0,0,0,0,0,0,0,1.01699,0,0,0,0,0.927016
1.01907,0,0,0,0,0,0,0,1.01907,0,0,0,0,0.927016
1.02312,0,0,0,0,0,0,0,1.02312,0,0,0,0,0.927016
1.02619,0,0,0,0,0,0,0,1.02619,0,0,0,0,0.927016
1.03059,0,0,0,0,0,0,0,1.03059,0,0,0,0,0.927016
1.03456,0,0,0,0,0,0,0,1.03456,0,0,0,0,0.927016
1.04434,0,0,0,0,0,0,0,1.04434,0,0,0,0,0.927016
1.04496,0,0,0,0,0,0,0,1.04496,0,0,0,0,0.927016
1.04692,0,0,0,0,0,0,0,1.04692,0,0,0,0,0.927016
1.05165,0,0,0,0,0,0,0,1.05165,0,0,0,0,0.927016
1.05495,0,0,0,0,0,0,0,1.05495,0,0,0,0,0.927016
1.05866,0,0,0,0,0,0,0,1.05866,0,0,0,0,0.927016
1.06259,0,0,0,0,0,0,0,1.06259,0,0,0,0,0.927016
1.06675,0,0,0,0,0,0,0,1.06675,0,0,0,0,0.927016
1.0767,0,0,0,0,0,0,0,1.0767,0,0,0,0,0.927016
1.07787,0,0,0,0,0,0,0,1.07787,0,0,0,0,0.927016
1.08101,0,0,0,0,0,0,0,1.08101,0,0,0,0,0.927016
1.08243,0,0,0,0,0,0,0,1.08243,0,0,0,0,0.927016
1.08673,0,0,0,0,0,0,0,1.08673,0,0,0,0,0.927016
1.09109,0,0,0,0,0,0,0,1.09109,0,0,0,0,0.927016
1.09462,0,0,0,0,0,0,0,1.09462,0,0,0,0,0.927016
1.09891,0,0,0,0,0,0,0,1.09891,0,0,0,0,0.927016
1.1087,0,0,0,0,0,0,0,1.1087,0,0,0,0,0.927016
1.10886,0,0,0,0,0,0,0,1.10886,0,0,0,0,0.927016
1.11337,0,0,0,0,0,0,0,1.11337,0,0,0,0,0.927016
1.11436,0,0,0,0,0,0,0,1.11436,0,0,0,0,0.927016
1.11859,0,0,0,0,0,0,0,1.11859,0,0,0,0,0.927016
1.12263,0,0,0,0,0,0,0,1.12263,0,0,0,0,0.927016
1.1268,0,0,0,0,0,0,0,1.1268,0,0,0,0,0.927016
1.13093,0,0,0,0,0,0,0,1.13093,0,0,0,0,0.927016
1.14024,0,0,0,0,0,0,0,1.14024,0,0,0,0,0.927016
1.14067,0,0,0,0,0,0,0,1.14067,0,0,0,0,0.927016
1.14465,0,0,0,0,0,0,0,1.14465,0,0,0,0,0.927016
1.14694,0,0,0,0,0,0,0,1.14694,0,0,0,0,0.927016
1.15104,0,0,0,0,0,0,0,1.15104,0,0,0,0,0.927016
1.15471,0,0,0,0,0,0,0,1.15471,0,0,0,0,0.927016
1.15876,0,0,0,0,0,0,0,1.15876,0,0,0,0,0.927016
1.16254,0,0,0,0,0,0,0,1.16254,0,0,0,0,0.927016
1.17151,0,0,0,0,0,0,0,1.17151,0,0,0,0,0.927016
1.17215,0,0,0,0,0,0,0,1.17215,0,0,0,0,0.927016
1.17688,0,0,0,0,0,0,0,1.17688,0,0,0,0,0.927016
1.17872,0,0,0,0,0,0,0,1.17872,0,0,0,0,0.927016
1.18244,0,0,0,0,0,0,0,1.18244,0,0,0,0,0.927016
1.18668,0,0,0,0,0,0,0,1.18668,0,0,0,0,0.927016
1.19074,0,0,0,0,0,0,0,1.19074,0,0,0,0,0.927016
1.19444,0,0,0,0,0,0,0,1.19444,0,0,0,0,0.927016
1.20233,0,0,0,0,0,0,0,1.20233,0,0,0,0,0.927016
1.20278,0,0,0,0,0,0,0,1.20278,0,0,0,0,0.927016
1.20689,0,0,0,0,0,0,0,1.20689,0,0,0,0,0.927016
1.21037,0,0,0,0,0,0,0,1.21037,0,0,0,0,0.927016
1.21425,0,0,0,0,0,0,0,1.21425,0,0,0,0,0.927016
1.21829,0,0,0,0,0,0,0,1.21829,0,0,0,0,0.927016
1.22238,0,0,0,0,0,0,0,1.22238,0,0,0,0,0.927016
1.2265,0,0,0,0,0,0,0,1.2265,0,0,0,0,0.927016
1.23689,0,0,0,0,0,0,0,1.23689,0,0,0,0,0.927016
1.23795,0,0,0,0,0,0,0,1.23795,0,0,0,0,0.927016
1.242,0,0,0,0,0,0,0,1.242,0,0,0,0,0.927016
1.24298,0,0,0,0,0,0,0,1.24298,0,0,0,0,0.927016
1.24657,0,0,0,0,0,0,0,1.24657,0,0,0,0,0.927016
1.25067,0,0,0,0,0,0,0,1.25067,0,0,0,0,0.927016
1.2549,0,0,0,0,0,0,0,1.2549,0,0,0,0,0.927016
1.2587,0,0,0,0,0,0,0,1.2587,0,0,0,0,0.927016
1.26814,0,0,0,0,0,0,0,1.26814,0,0,0,0,0.927016
1.26898,0,0,0,0,0,0,0,1.26898,0,0,0,0,0.927016
1.2722,0,0,0,0,0,0,0,1.2722,0,0,0,0,0.927016
1.27518,0,0,0,0,0,0,0,1.27518,0,0,0,0,0.927016
1.27853,0,0,0,0,0,0,0,1.27853,0,0,0,0,0.927016
1.28258,0,0,0,0,0,0,0,1.28258,0,0,0,0,0.927016
1.28683,0,0,0,0,0,0,0,1.28683,0,0,0,0,0.927016
1.29042,0,0,0,0,0,0,0,1.29042,0,0,0,0,0.927016
